Year,LSOA Code,Population
2014,E01025469,1537
2014,E01025470,1523
2014,E01025522,1128
2014,E01025471,1471
2014,E01025480,1411
2014,E01025481,1423
2014,E01025482,1415
2014,E01025520,1266
2014,E01025521,1718
2014,E01025523,1704
2014,E01025524,1449
2014,E01025525,1637
2014,E01025526,1567
2014,E01025472,1448
2014,E01025473,1378
2014,E01025475,1460
2014,E01025476,1349
2014,E01025477,1222
2014,E01025478,1149
2014,E01025492,1298
2014,E01025527,1383
2014,E01025528,1802
2014,E01025529,1984
2014,E01025493,1652
2014,E01025494,1650
2014,E01025503,1352
2014,E01025504,1162
2014,E01025505,1384
2014,E01025534,1858
2014,E01025535,1516
2014,E01025536,1445
2014,E01025537,1544
2014,E01025540,1120
2014,E01025573,1389
2014,E01025574,1600
2014,E01025581,1282
2014,E01025582,1189
2014,E01025583,1201
2014,E01025584,1349
2014,E01025605,1327
2014,E01025606,1303
2014,E01025607,1697
2014,E01025608,1643
2014,E01025590,1637
2014,E01025591,1502
2014,E01025592,1504
2014,E01025593,1746
2014,E01025563,1171
2014,E01025564,1648
2014,E01025565,1538
2014,E01025586,1590
2014,E01025587,1531
2014,E01025588,1384
2014,E01025589,1218
2014,E01025557,1555
2014,E01025575,1309
2014,E01025578,1560
2014,E01025579,1376
2014,E01025580,1273
2014,E01025547,1981
2014,E01025549,2196
2014,E01025609,2128
2014,E01025548,1453
2014,E01025553,2670
2014,E01025558,1695
2014,E01025559,1864
2014,E01025560,1359
2014,E01025554,1457
2014,E01025556,1531
2014,E01025570,1185
2014,E01025571,1423
2014,E01025572,1373
2014,E01025604,1465
2014,E01025561,1470
2014,E01025562,2169
2014,E01025585,2471
2014,E01025542,1620
2014,E01025555,1361
2014,E01025601,1342
2014,E01025602,1640
2014,E01025603,1464
2014,E01025541,1868
2014,E01025543,1793
2014,E01025544,1541
2014,E01025576,2300
2014,E01025577,1365
2014,E01025550,1639
2014,E01025552,1303
2014,E01025594,1564
2014,E01025595,1408
2014,E01025596,2063
2014,E01025597,1157
2014,E01025545,1903
2014,E01025546,1540
2014,E01025551,1240
2014,E01025567,1591
2014,E01025598,1414
2014,E01025566,2122
2014,E01025568,1639
2014,E01025569,1840
2014,E01025599,932
2014,E01025600,1533
2015,E01012607,1497
2015,E01012608,2164
2015,E01012633,1561
2015,E01012634,1437
2015,E01012635,1682
2015,E01012636,1449
2015,E01012581,1220
2015,E01012582,1595
2015,E01012583,1616
2015,E01012587,2028
2015,E01012588,2111
2015,E01012574,1426
2015,E01012577,1898
2015,E01012578,1904
2015,E01012605,2210
2015,E01012606,1592
2015,E01012579,1645
2015,E01012580,2056
2015,E01012642,1813
2015,E01012645,2009
2015,E01012585,1604
2015,E01012586,1603
2015,E01012656,1735
2015,E01012657,2037
2015,E01012658,1754
2015,E01012629,1283
2015,E01012631,1358
2015,E01012643,1686
2015,E01012644,2468
2015,E01012655,1944
2015,E01012571,1704
2015,E01012572,1529
2015,E01012573,1625
2015,E01012575,1243
2015,E01012630,2341
2015,E01012576,1891
2015,E01012637,1587
2015,E01012638,1584
2015,E01012639,1792
2015,E01012640,1731
2015,E01012641,1778
2015,E01012595,2160
2015,E01012596,1820
2015,E01012622,1566
2015,E01012623,1468
2015,E01012624,1412
2015,E01012625,1652
2015,E01012584,1605
2015,E01012609,1509
2015,E01012610,1239
2015,E01012611,1033
2015,E01012612,1381
2015,E01012613,1254
2015,E01012600,1392
2015,E01012601,1523
2015,E01012602,1553
2015,E01012603,1623
2015,E01012604,1597
2015,E01012632,1966
2015,E01012594,1525
2015,E01012618,1481
2015,E01012619,1404
2015,E01012620,1387
2015,E01012621,1392
2015,E01012593,1734
2015,E01012597,1758
2015,E01012598,3086
2015,E01012599,1254
2015,E01012589,1386
2015,E01012590,1321
2015,E01012591,1518
2015,E01012648,1122
2015,E01012652,1493
2015,E01012617,1320
2015,E01012646,1482
2015,E01012647,1589
2015,E01012650,1348
2015,E01012649,1350
2015,E01012651,1715
2015,E01012653,1440
2015,E01012654,1799
2015,E01012614,1652
2015,E01012615,1477
2015,E01012616,1668
2015,E01012659,1341
2015,E01012660,1128
2015,E01012661,1457
2015,E01012592,1907
2015,E01012628,1197
2015,E01032485,1837
2015,E01032486,1345
2015,E01012663,1566
2015,E01012664,1692
2015,E01012665,1700
2015,E01012716,1389
2015,E01012719,1372
2015,E01012662,1388
2015,E01012703,1502
2015,E01012704,1979
2015,E01012706,1655
2015,E01012717,1635
2015,E01012666,1438
2015,E01012667,1563
2015,E01012668,1568
2015,E01012669,1866
2015,E01012718,1646
2015,E01012690,1553
2015,E01012691,1961
2015,E01012692,1685
2015,E01012705,1658
2015,E01012723,1459
2015,E01012693,1588
2015,E01012711,1381
2015,E01012747,1489
2015,E01012750,1714
2015,E01012681,1511
2015,E01012683,1378
2015,E01012748,1483
2015,E01012749,1564
2015,E01012707,1252
2015,E01012720,1622
2015,E01012721,1769
2015,E01012724,1437
2015,E01012678,903
2015,E01012679,1520
2015,E01012680,1422
2015,E01012682,1438
2015,E01012684,1488
2015,E01012676,1383
2015,E01012677,1365
2015,E01012708,1308
2015,E01012709,1636
2015,E01012710,1258
2015,E01012722,1281
2015,E01012673,1264
2015,E01012675,1548
2015,E01012735,1300
2015,E01012736,1284
2015,E01012737,1450
2015,E01012670,1194
2015,E01012733,1063
2015,E01012734,1375
2015,E01012738,1236
2015,E01012739,1398
2015,E01012742,1132
2015,E01012712,1647
2015,E01012713,1918
2015,E01012715,1576
2015,E01012740,1550
2015,E01012741,1332
2015,E01012671,1420
2015,E01012672,1274
2015,E01012674,1593
2015,E01012751,1416
2015,E01012686,1438
2015,E01012687,1451
2015,E01012688,1206
2015,E01012689,1227
2015,E01012714,1640
2015,E01012695,1299
2015,E01012743,1751
2015,E01012744,1628
2015,E01012745,1706
2015,E01012746,1877
2015,E01012685,1547
2015,E01012694,1262
2015,E01012696,1493
2015,E01012697,1334
2015,E01012698,1597
2015,E01012726,1688
2015,E01012728,1568
2015,E01012752,1240
2015,E01012753,1138
2015,E01012754,1144
2015,E01012755,1415
2015,E01012701,1575
2015,E01012729,1572
2015,E01012730,1702
2015,E01012731,1562
2015,E01012732,1632
2015,E01012699,1778
2015,E01012700,1830
2015,E01012702,1398
2015,E01012725,1443
2015,E01012727,1586
2015,E01024859,1496
2015,E01024861,1146
2015,E01024862,1504
2015,E01024891,1818
2015,E01024892,1401
2015,E01024894,1473
2015,E01024893,1547
2015,E01024896,1307
2015,E01024897,1395
2015,E01024898,1549
2015,E01024856,1679
2015,E01024875,1567
2015,E01024876,1404
2015,E01024877,1596
2015,E01024878,1607
2015,E01024895,1370
2015,E01024883,1494
2015,E01024884,1636
2015,E01024885,1730
2015,E01024886,1390
2015,E01024889,1240
2015,E01024890,1484
2015,E01024879,1299
2015,E01024880,1534
2015,E01024912,1359
2015,E01024913,1287
2015,E01024914,1435
2015,E01024881,1481
2015,E01024882,1436
2015,E01024902,1523
2015,E01024911,1774
2015,E01024855,1458
2015,E01024857,1598
2015,E01024858,1370
2015,E01024864,1494
2015,E01024863,1446
2015,E01024865,1450
2015,E01024866,1709
2015,E01024867,1457
2015,E01024860,1248
2015,E01024868,1187
2015,E01024869,1376
2015,E01024870,1160
2015,E01024872,1364
2015,E01024899,1613
2015,E01024900,1703
2015,E01024907,1131
2015,E01024908,1166
2015,E01024909,1503
2015,E01024874,1111
2015,E01024887,1493
2015,E01024888,1648
2015,E01024901,1726
2015,E01024904,1661
2015,E01024906,1733
2015,E01024910,1344
2015,E01024871,1383
2015,E01024873,1304
2015,E01024903,1249
2015,E01024905,1216
2015,E01024951,1182
2015,E01024952,1338
2015,E01024953,1360
2015,E01024954,1637
2015,E01024921,2034
2015,E01024978,1360
2015,E01024979,1380
2015,E01024980,1419
2015,E01024946,1180
2015,E01024947,1404
2015,E01024955,1495
2015,E01024956,1395
2015,E01024957,1592
2015,E01024958,1364
2015,E01024948,1578
2015,E01024949,3228
2015,E01024950,1404
2015,E01024977,2325
2015,E01024967,1218
2015,E01024968,2062
2015,E01024969,1299
2015,E01024970,1326
2015,E01024971,1238
2015,E01024972,1191
2015,E01024929,1266
2015,E01024930,1492
2015,E01024931,1431
2015,E01024932,988
2015,E01024933,1223
2015,E01024937,1464
2015,E01024964,1478
2015,E01024974,1573
2015,E01024975,3230
2015,E01024976,1650
2015,E01024919,4320
2015,E01024920,1924
2015,E01024934,1525
2015,E01024935,1378
2015,E01024925,1715
2015,E01024926,2288
2015,E01024927,1764
2015,E01024928,1416
2015,E01024936,1532
2015,E01024938,2047
2015,E01024939,1995
2015,E01024940,1895
2015,E01024941,1714
2015,E01024923,1244
2015,E01024924,1458
2015,E01024963,1517
2015,E01024965,1420
2015,E01024966,1761
2015,E01024942,1790
2015,E01024943,2269
2015,E01024944,1982
2015,E01024945,3239
2015,E01024922,1463
2015,E01024959,1751
2015,E01024960,1626
2015,E01024961,1614
2015,E01024962,1584
2015,E01024915,2346
2015,E01024916,1844
2015,E01024917,1813
2015,E01024918,1755
2015,E01024973,2170
2015,E01024993,1462
2015,E01025026,1383
2015,E01025027,1791
2015,E01025028,1427
2015,E01025031,1346
2015,E01025007,1252
2015,E01025008,1147
2015,E01025009,1536
2015,E01025011,1472
2015,E01025012,2280
2015,E01025013,1744
2015,E01025019,1436
2015,E01024998,1789
2015,E01025010,1839
